http://www.nytimes.com/2015/12/06/arts/music/u2-preaching-defiance-heads-back-to-paris.html
		u2 , preaching defiance , heads back to paris 
671934645257248768	diana_prichard	" he is obsessed with the world coming to an end . ” <-- sounds familiar . 
671959106236768256	ibarra_lisa	rt so he’s not a transgender liberal activist , then . 
671954122376151040	AngelaLoRosso	top story : peter beaumont for robert dear , religion and rage before planned par … see more 
671947090075848705	luvronandez	nytimes : suspect mixed religion and rage before planned parenthood attack 
671946407042023426	crandallgold	why is it so difficult for the us media to our own terrorists ? 
671944936292376576	Maggie4NoH8	rt for robert dear , religion & rage before attack every sad angle of patriarchal abuse boiled down … 
671943790408704000	USAHumanist	the shooter , was a terrorist 
671936202488963072	wetcasements	rt for robert dear , religion and rage before attack … 
671934180549267456	HeyYoJos	rt once again : what name must we call this sort of terrorism as the first step to defeating it ? https : … 

http://www.nytimes.com/2015/11/29/world/middleeast/isis-grip-on-libyan-city-gives-it-a-fallback-option.html
671700758803402752	NajatD	isis ’ grip on libyan city gives it a fallback option 
671993920960729088	netmex	rt in public beheadings have started . radio stations no longer play music . … 
671983316850094081	LDestrijcker	“ a great exodus of is leadership in syria and iraq is now establishing itself in libya ” 
671961209751527426	elvinsabile	rt isis in libya : the public beheadings have started . the radio stations no longer play music . https … 
671960171074162688	EricLebedel	renzi , & warn about isis threat from libya ... 
671905141029773312	SweesyMarsha	isis & grip on libyan city gives it a fallback option 
671850479555641344	KekHamo	isis is moving terrorists to libya , controlling surt . apparently they can move freely , and even visit relatives : 
671890165141528576	Marshall_Cohen	nyt : isis-held territories in libya are now being controlled by isis hq like an actual colony , not just " affiliate " 
671884801239031808	STimofeev_1	rt libya is becoming an isis stronghold , but at least we don't have to worry about gadaffy meddling in african affairs https://… 
671882534448312321	KSantal	meanwhile , isis controls gadaffi's hometown surt if anyone's asked clinton , i haven't seen it 
671852646060331008	TheDailySledge	retweeted plumes singesⓐntifa ( al-baghdadi head of in think to ... 
671852158455795712	La_PlumeduSinge	al-baghdadi head of in think to leave to because airstrikes 
671846687770435584	KSantal	how about isis in control of gadaffi hometown surt . that should be a big deal . 
671839671454973953	alberdi6	rt isis establishes a colony in surt , libya , while other militias dither . by … 
671818614824148992	federiconero	libyan city of sirte is now an actively colony of islamic state , giving isis a fallback option for the caliphate 
671805654332493824	alejandro_roche	daesh has exclusive control of 150+ miles of mediterranean coastline ~ 400 miles southeast of sicily : 
671757897903288320	LabourLeft	isis in libya : there next for air strikes ?? 
671773015387086848	fiddelyfoof	could you ask in the hoc if we'll pursue isil into libya , or is forcing them out of syria " success " ? 
671759699180580868	coffeedevotion	rt libya going well then ... " the first public beheadings have started " - isis ’ grip on libyan city 
671753130518913024	GeoKeegan	rt today at 5 , ny times ' eric schmitt joins on this very important article -> isis ' grip on libya … 
671745769771302912	akaraoud	rt hardline fighters flocked 2 in 2012-13 ; now making reverse journey … 
671723842855944192	lkmcnals	rt libya's surt is now an actively managed colony of the central islamic state , crowded with foreign fighters … 
671717504767643649	ntvpengueni	rt isis in libya : public beheadings started . radio stations no longer play music - … 
671716688325398529	howarthm	meantime in 
671712871114547201	jcdonnelly916	rt hate ny times ' initial cap headlines . but this is a terrific piece re isis of a kind you never see in the uk press . https … 
671692615138570240	ja_herron	libyan city of sirte is an " actively managed colony of the central islamic state , crowded with foreign fighters " 
671694619701284865	PamEngel12	oh this sounds familiar 
671690538219913216	riprap007	rt isis ' grip on libyan city gives it a fallback option • • 

http://www.nytimes.com/2015/12/02/world/asia/leader-of-taliban-splinter-group-allied-with-isis-is-killed.html
671795419098324992	TRN_Blog	" leader of taliban splinter group allied with isis is killed " 
671929898102095872	jboday	leader of splinter group allied with isis is killed 
671920184513400832	RKHayer	nyt : 1/12/2015 sec/official says-leader of splinter group mullah mansour was killed in oct 
671906462659158016	rodnordland	leader of taliban splinter group allied with isis killed , by david jolly and 
671865489765830656	EwRmadrid	top story : retweets leader of taliban splinter group allied … see more 
671850155432275968	El_Grillo1	mullah mansour dadullah , leader of taliban splinter allied w/isis , killed last month in gunfight w/ core taliban 
671848700155527168	1nO1nroP	leader of allied with is killed - 
671809275820449792	aj_beloff	leader of splinter group allied w/ is killed , removing a major rival of the 

http://www.nytimes.com/2015/12/06/magazine/the-last-dalai-lama.html
671731377210073088	chhoekyapa	the last 
672026741725114369	danielmolto	the last dalai lama ? maybe 
671801166632771585	RobbieBarnett	pankaj mishra ruminates despondently on the dalai lama , admires his iconoclasm , and sees little hope for the future . 
672024087930114049	Leroy_Lynch	the last dalai lama ? at 80 , tenzin gyatso is still an international icon , but the future of his office is in doubt . 
672015636529152000	dlTibet	the last dalai lama ? : it could only be a matter of time before tibet , too , was free . the dalai lama still trav ... 
671997611591663616	boocatbutterbee	the last dalai lama ? who cares ? the second-to-last pope . who cares ? 
671970480744722432	GarrettSpeers	what will happen after the dies ? 
671969384542285824	arnikathakur	is tenzin gyatso going to be the last dalai lama ? 
671949908664954881	georgedannells	" in that innocent era , universal triumph of liberal capitalism & democracy seemed assured " those days are gone now 
671913107019718658	CharlotteHase	an insightful piece about the dalai lama and his legacy in the 
671900200265342977	TibetanFeminist	new piece on & how " the future of his office — and of the tibetan people — has never been more in doubt . " 
671863265522270208	YokoyamaKeita	in case you wanted to learn more about the dalai lama , the man : 
671706159368146944	SaveTibetOrg	‘‘ i feel i can be useful for at least next 10 years . ’’ tells pankaj mishra 
671798893923844097	AIBSdigital	an excellent article on the and the current situation in today's by pankaj ... 
671770629734035456	Athmanathan25	lengthy article with a lot of interesting bits . 
671742008499691520	OmairTAhmad	‘‘ nonsense!’’ he thundered . ‘‘ if i am a living god , then how come i can’t cure my bad knee ? ’’ 
671761925999603716	ExMachina	" no longer feasible to construct ethical existence on the basis of traditional religion in multicultural societies . " 
671760920096325632	qimover	thorough but somewhat pessimistic article about current and future role of dalai lama . synopsis of more recent ... 
671745767585910784	OmairTAhmad	the dalai lama listened with concern and then said , ‘‘ criticism in india of modi is growing . ’’ 
671728225362538501	rodulfox	wine 
671690025445142528	david__moser	the dalai lama says there are 400 million buddhists in china . ( via pankaj mishra articie ) 
671685071212961792	david__moser	pankaj mishra gives us an epic portrait of the aging dalai lama . 

http://www.nytimes.com/2015/12/01/health/new-diabetes-cases-at-long-last-begin-to-fall-in-the-united-states.html
672031335490437120	ColumbiaScience	after years of increasing rates , the number of new cases in the us has finally started to decline : 
672026875724767233	rjlindwall	rt the rate of new us diabetes cases fell by 20% from ' 08-'14 , the first sustained decline in 25 years . 
671815037993005061	CourtneyKrieb	new diabetes cases , at long last , begin to fall in the united states 
672023599742590976	MarcVegan	rt new diabetes cases , at long last , begin to fall in the united states 
671996079060049920	KlausinTX	rt new diabetes cases begin to fall in the united state- but still double % of ppl w/ in early 90s … 
671994982723620864	NAlZaman	rt new diabetes cases , at long last , begin to fall in usa 
671821373963116544	JuleenRZierath	it's finally entered into the consciousness of our population that a sedentary lifestyle is a real problem-d . nathan 
671950307098660865	JoyYWu	good news - the number new cases of is finally decreasing in the us , but much more work to be done 
671941951520833536	LauraARiveraMPH	incidence is dropping in the us 
671925771611443202	LauraSchmidtPhD	rt lost in headline - disparities may be worse . can't say it enough . | new diabetes cases begin to fall in u.s. … 
671908509848612864	emergencyroom	rt great news for our patients and to our medical team new diabetes ca … 
671906791844790274	clinicadelsoltx	great news for our patients and to our medical team new diabetes cases fall in the us 
671905544739889152	bronkbs	we need to sustain the progress ... nytimes : new diabetes cases , at long last , begin to fall in u.s. 
671901175269228549	JJGomez127	wonder if this is at all aca related ? piece doesn't mention it but .... 
671856778334887936	margaretcuomo	. diabetes in america in on the decline : 
671885571447500801	Murphy_KMG	rt yes . the # of new diabetes cases in the u.s. has started to decline , after decades of increases . … 
671879043491323905	TuckerMedical	someone is listening to what we say . diabetes cases are actually reducing . come join the fun ! 
671869560501374980	ldsklandrews	rt new diabetes cases begin to fall in the u.s. ; eating habits , after decades of deterioration , improve 
671865133862293504	TheDukeDigital	new cases begin to fall , albeit unevenly , in the us 
671865737342939136	FitNowHealth	good news , but we still have a way to go ! new cases finally beginning to fall in u.s. 
671862603220578308	HDAdvocates	wahoo ! new cases , finally begin to fall in the united states 
671839041306824706	Sciwhat	new cases , at long last , begin to fall in the united states 
671854386721636352	KayJStroud	a turnaround as evolves : new diabetes cases , at long last , begin to fall in the us 
671846223045861376	RobertOhMD	from 50 cans of to < 7 a week-less intake & more finally slowing tide of 
671826152420417537	Nutrino	new cases are finally beginning to fall in the us !! via 
671821807553347585	Elegant_Science	excellent news for those in the health care community , new diabetes cases begin to fall in the us 

http://www.nytimes.com/2015/12/04/fashion/mens-style/the-peculiar-ascent-of-bill-murray-to-secular-saint.html
671835590300737536	David_Wren_	the peculiar ascent of bill murray to secular saint -- 
672013845074956288	_werwolf	bill murray , the pop-icon . note : you can't fake these things . 
671996370232979456	vanilla_chief	" lost in the funny retellings is the melancholy reality of an older , divorced dad partying with 20-somethings . " 
671959603232509952	chgrasse	bill murray . secular saint . 
671928204005736448	GoPlayDenver	a little something to read while you wait for the release of " a very murray christmas " 12/4 : 
671926847639150592	ferniebound	love this . bill murray = best . via 
671919285661507584	craigwilson	the ( not so , imho ) peculiar ascent of bill murray to secular saint ( c/o 
671902257655386112	ilsangdabaansa	rt why bill murray is the new che guevara 
671891679956369411	PSheppardTV	" as mr. glazer wrote in his recent vanity fair cover article on his old friend , there is no equivalent for the ... 
671888221501054976	Claude6006	how does one resist the coolness of bill murray ? 
671878956459671553	LouBrutus	bill murray : an excellent article on from today's 
671865600952659969	joecarter	the cult of bill murray is populated with sad white people who are trying way , way to hard to be hip and cool . 
671870023401496576	dotsie01	the other brother bill ... 
671859941636972545	BrosCaddyShack	rt bill murray - the new che guevara ? 
671856959432343552	KateMcElheney	am i the only 1 who totally missed bill murray's supposed " secular sainthood " ?… 
671833521749495808	CarlosPalos	rt san bill murray . 
671823251417509888	Matthew_Barlow	the peculiar ascent of to secular saint 
671810646086983680	thewildertweets	you don't have to be " hipsters + sensitive art-school kids " to love bill murray : 
671805124382212098	slewert	there is a real sense bill murray could crash your halloween party . 

http://www.nytimes.com/2015/12/01/world/europe/for-survivors-of-paris-attacks-mental-scars-may-outlast-wounds.html
671711893397086209	JohnnyMack_	for survivors of paris attacks , mental scars may outlast wounds : 
671923873734987776	SebastienNantes	ne les oublions pas ... paris scars run deep in wounded victims 
671800874071556096	OrganicFoodGal	most of the wounded and their families , and a large number of medical personnel , are receiv ... 
671752941519413250	thisoldguy57	for survivors of mental scars may outlast wounds 
671743599495749632	AnatSamid	for of mental scars may outlast wounds 
671731791170895872	claudiamiles	many survivors of the are seriously injured or still in intensive care ; others have severe ptsd . 
671724788470128640	JustMcGovern	in understanding how terrorism is intended to continue to negatively affect people who experience , directly and ... 
671724501646876672	kateflaim	rt " the paris hospitals network ... typically sees only five gunshot patients a year . " let that sink in . … 

http://www.nytimes.com/2015/12/01/movies/dave-navarros-mourning-son-tells-the-story-of-his-mothers-murder.html
671547816829919232	mace	dave navarro’s ‘ mourning son ’ tells the story of his mother’s murder . 
671831688406675456	time59	beautiful that dave navarro can get around the trauma and remember his mother as she was . 
671785976461721600	bradrevans	attn 
671716747280564225	VegaBabyUS	new york times piece on our new release mourning son .... 
671752052159160320	ImagineaWorldNJ	mourning son tells the story of a boy's journey through trauma to resilience . “ after my mom was killed , i had ... 
671732822802087936	katierosman	gripping : " one of the ways trauma survivors get past trauma is to walk through the ugliness , " dave navarro said . 
671727230591107072	modernmemorials	dave navarro’s ‘ mourning son , ’ the story of his mother's loss , shows us the healing power of humor thru dark times : 
671723388776378368	YWCACincinnati	is more widespread than you realize . dave navarro’s tells the story of his mother’s murder 
671720830494109697	JeanneHoffa	dave navarro’s confronts his mother's killer in new documentary . " he's just an old guy dying in jail . " 
671711825738772480	Guitarkadia	. ‘ mourning son ’ tells the story of his mother’s murder , via 
671677371003613184	HanaBCN	hope i don't have to wait until next to see dave navarro’s ‘ mourning son ’ 
671648712670711808	MarkObbie	“ i had to dig into the trauma to get to the beauty . " documentary on survivor 
671553756027338752	QuincyRoseFilms	awesome article in the ny times on my man dave navarro's new doc available 12/01/2015 and directed by one of my ... 
671551542034497537	bolivia_nope	his story to tell : dave navarro’s mother was murdered by her ex boyfriend 
671549422858141697	I_am_orange	not your typical rock star movie 
671537974065152000	dianauws	the most interesting story you'll read this week : dave navarro’s ‘ mourning son ’ the story of his mother’s murder 
671536646991437824	aunttellym	i'm excited to watch this but know i will cry ! ‘ mourning son ’ tells the story of his mother’s murder 

http://www.nytimes.com/2015/12/01/us/politics/love-and-disbelief-followdonald-trump-meeting-with-black-leaders.html
672021951775379456	tayontheburg	rt here's link to nyt piece claiming blacks are " polarized " ( i.e. deeply split ) over trump ; 
671793366854672388	viciousbabushka	‘ love ’ and disbelief follow donald trump meeting with black leaders 
671885569002180608	xavierjames2010	coons who love trump also love jesus . ’ and disbelief follow donald trump meeting with black leaders 
671856269481877504	goodmandawn	‘ love ’ and disbelief follow donald trump meeting with black leaders 
671811330941259783	PoliticalAnt	‘ love ’ and disbelief follow meeting with black leaders also lies , of course . 
671810197287899138	timbuch2	understatement of the day : “ it appears as if he’s a possible racist based upon some of the things he said about ... 
671810004165386240	jaazee1	donald trump meeting with black leaders sharpton : " jesus was a refugee ! " he never left his country , rev ! 
671778535061790720	GetWisdomDude	donald trump meets with black pastors , gop & reality tv participants 
671799207670489088	VerbaAqua14	‘ love ’ and disbelief : trump meeting w black leaders <>< it's clear that can ooze * anything * w a str8 maw 
671775130775887872	perezpena	trump , on meeting black ministers : " they liked me , " was " great love in the room . " were they in the same room ? 
671770010839212032	75thCXO	nytimes : ‘ love ’ and disbelief follow trump meeting with black leaders 
671767603258499072	CrescentSpeak	nyt says "' love ' and disbelief " , i say wtf ???? also this : " other than the organizer of the event , mr. [ bruce ] ... 
671763677880668164	JenDMistry	the closing line of this article : i see your sass , and i like it . 
671755548837056512	ProphetPX	why do we even need " black leaders " or " latino leaders " or even " white leaders " for anyway ? so much stupidity ... 
671747759251304448	carlomanfredi77	- ‘ love ’ and disbelief follow meeting with 
671750227725066240	balogunjide1	blacks endorse trump ? go test this out in the hood ! disbelief follow donald trump meeting with black leaders 
671747734194515968	deliasaucedo56	why in the world would they attend in the first place !!! 
671745754827005953	dallasreese	. meeting with black leaders ends with ' love ' and skepticism . 

http://www.nytimes.com/politics/first-draft/2015/12/01/uncertainty-frenzy-and-then-donald-trump-appeared/
671692834290843648	wynnehurst	uncertainty . frenzy . and then donald trump appeared . 
671708384572280832	DidITweetThat	we're expecting a yuuge amount of endorsements . too many to count , like the # of pastors who showed 

http://www.nytimes.com/interactive/2015/11/12/business/media/david-carr-fellowship.html
671413795630227456	_GaelEB	what david carr taught us 
671554915408330752	DoctorYasmin	" always have something better in the works ” - what david carr taught us 
671454965420957696	BobbyCervantes	. " i looked into my notebook from a year ago and it said ' ask questions but ask the right questions . '" 
670539664525303808	alan_wrn	as we search for our first david carr fellow , we've been reminded how much david continues to inspire journalists 
670594828359593985	folioweekly	david carr memories former editor anne schindler part of the cult of carr 
670531751400226816	jordanozaki	‘ you have to break some eggs to make an omelet , ’ 
670526840541286400	lucy_trendwatch	rt as we search for our first david carr fellow , we've been reminded how much david continues to inspire journalis … 

http://www.nytimes.com/2015/12/06/travel/star-wars-ireland-skellig-michael.html
671890533963403264	MouseMonthly	fever extends to an ancient irish island 
672001360372572160	IrishQlder	be sure and go see star wars this christmas , featuring our own spectacular skellig michael . it's set to bring a ... 
671998692501536768	AndrewCrowley	another reason to look forward to star wars vii 
671958918093012992	AnthonyP_Foley	the destination profile benefits for kerry are rolling in 
671949059419193344	WldlifeDefence	‘ star wars ’ extends to an ancient island 
671945533481607168	bpaul	‘ star wars ’ more of a teaser than a spoiler 
671935069855088641	o_sullivandavid	‘ wars ’ fever extends to an ancient irish island 
671919333526884352	quaternitybooks	ireland , " star wars , " and the mystical something ... 
671907730312011776	penottawa	from the mists of time .. ' star wars ’ fever extends to an ancient irish island 
671844068247347200	robcrilly	so what is ireland's mystical site of skellig michael doing in new star wars ? my guess : retirement home for jedi 
671808655382208513	iliassiak	" but now , its relative obscurity seems about to end in a blaze of silver-screen glory . " i love the 
671791774533226496	ie_meta_guide	i love this : " but you’d sooner keep a wookiee from roaring than an irishman from regaling a willing audience ... " 
671774390397349891	PaceComm	great piece in by our own lucinda hahn highlighting a location that * may * be in the next movie ! 
671773220266098688	jcraigwaller	fun piece in the new york times by our own lucinda hahn highlighting a location that may/may not be in the next sta … 

http://www.nytimes.com/2015/12/01/opinion/campaign-stops/bernie-sanders-your-cool-socialist-grandpa.html
671939021094969344	LollipopCrumbs	bernie sanders is making his case to millennials — and everyone else , too . new york times : 
671846915181404160	FoolishReporter	bernie sanders , your cool socialist grandpa : 
671970980097490944	SallyNOLA	" to understand how mr. sanders has outperformed expectations in the democratic primary , you have to look at how ... 
671933207772729344	Scott_Volentine	' s political career " comes down to surprising people and exceeding expectations . ” 
671923332216934400	3fqEn	📰 your cool socialist grandpa 👉 📢 📢 
671918239727804419	paoladurankawa	bernie sanders : tu abuelo socialista buena onda . your cool socialist grandpa 
671913191530610688	jaclynkellye	. our cool socialist grandpa : he represents an unyielding crusader ... 
671910931899674625	ThomasBernpaine	" [ sanders ] is a brutally successful political knife-fighter . " hjaffe 
671909268677910528	dalewood	" enter mr. sanders , an almost painfully earnest politician seemingly burdened with the ambition and moral cert ... 
671906480229064704	WeTheVisionary	commenters on call bullshit on establishment writer who did latest hit piece : 
671906327246053376	kerrywyler	in bloodsport of 2-party politics , purity still a less desirable quality than ruthless electability 
671892696735313920	SamAndujar	bernie sanders , your cool 😎 socialist grandpa 
671889053562761216	chhattisgarhpcc	rt corbyn in uk , sanders in us . seems things are starting to move in the right direction . indian politics ??? … 
671860231261917184	somnussleep	yes of course . ' nuance ' and ' issues ' or whatever . but if you had to bullet point it , this headline about sums it ... 

http://www.nytimes.com/2015/12/01/sports/baseball/new-york-mets-may-get-world-series-rings-too.html
671938716554792960	HelmsRosa	in baseball , a sparkling consolation prize 
671834947334770688	HarveyCast	the said they expected to make nl championship rings , even though they lost the series to the royals . 
671726381542350848	DjKoolaidMiex	rt " mets getting rings for losing world series ? " a well deserved tradition . … 
671705929025474560	BringTheFlag	to the winners , a ring . and to the losers , also a ring . 

http://www.nytimes.com/2015/12/06/travel/jim-gaffigan-kids-travel-tips.html
671853067843825665	DanielleDelcore	" traveling with 3- and 4-year-old boys is like transferring serial killers from a prison . " 
671827411831492609	RobFromSoCal	comedian jim gaffigan on how to travel with five kids 
671939576781365248	jmover	jim gaffigan on traveling with kids 🙉 
671931976857833472	SteveKaplanpa	a conversation with the comedian , who took his wife and five children on a monthlong bus tour this summer . 
671893789808685056	reneemurawski	road trip ! jim gaffigan , his wife , and a busload of kids . 
671861067522306050	BarbaraDanza	love him . comedian on how to travel with five kids 
671855131680489474	WilcoxNMP	yep . " we didn’t get a lot of sleep on bus tour " said " but we don’t get a lot of sleep at home anyway ” 
671846153785204736	FresnoDad	rt . has tips on how to travel with 5 kids ( no , leaving them behind is not one of them ) … 
671843726591991810	BrownsCraig	rt get to know more about comedian before his show here at the garden on 12/12 ! … 

http://www.nytimes.com/2015/12/02/world/asia/us-marine-joseph-pemberton-guilty-in-killing-of-transgender-woman-in-philippines.html
671965272010436608	NinjaEconomics	even the paper you write for and the link you tweeted said he was ordered to pay $100k . 
671726846191341568	UCWNews	u.s. marine guilty in killing of transgender woman in philippines 
671766443638128640	PROMOMissouri	u.s. marine found guilty in the philippines for the murder of a transgender woman . 
671767377768394752	PeerlessProphet	u.s. marine guilty in killing of transgender woman in phillipines 
671766076292734979	EqualityPA	u.s. marine found guilty in the philippines for the murder of a woman . 
671760816668971008	TheNewsRoundup	us marine guilty in killing of transgender woman in philippines - new york times 
671729120582086656	JeisBonGeek	u.s. marine guilty in killing of transgender woman in … 

http://www.nytimes.com/2015/12/01/health/blood-pressure-a-reading-with-a-habit-of-straying.html
671854798971490304	StanfordMed	how to most accurately diagnose high blood pressure , with comments by prof . david maron 
671656342021648384	dan_leca	blood pressure , a reading with a habit of straying 
671999843162791936	JacquiRogers2	share an update or mention someone using 
671885470196850690	drjosflynn	the answer is abpm ! 
671873196774129665	walterdebrouwer	blood pressure measured in a doctor’s office can be wrong about half the time : 
671870525787013120	sam_debrouwer	" reading blood pressure seems like a simple matter ... but your numbers can change several times a day " via 
671836874776797184	Toaster_Pastry	do you have high blood pressure ? then read this article and stop asking me stupid questions . 
671845061181775872	UABNews	measuring blood pressure is trickier than a simple cuff , uab expert says via 
671825039168176128	PrimaryCareTKO	is your blood pressure high ? ... more difficult to know than one would think . if yes , do you need treatment ? ...... 
671805038965235712	mavtodd	measurement error in blood pressure ( and this doesn't even get into the white coat effect ) 
671709247755939841	nkf	when blood pressure readings have a habit of jumping 
671792290290147330	NYHealthWorks	steady blood pressure ? it can jump around 40 points in a single day . 
671762131994468354	DavidJo55426933	2 numbers to make your head swim 
671704646575071232	Dr_Darell	nyt : people with high normal blood pressure risk receiving misleading diagnoses and being treated unnecessarily . 
671694328880852992	PeoplesPharmacy	a reading with a habit of straying via 
671661961092841472	rvaughnmd	his advice to patients is to abstain from obsessively monitoring their blood pressure . 

http://www.nytimes.com/2015/12/02/us/obama-repeats-call-for-stricter-gun-laws-after-colorado-shooting.html
671909005221085184	akv84	paul ryan pushes changes in mental health care 
671927702450933761	OrganicFoodGal	the speaker urged lawmakers to “ do more ” to protect people after the deadly shooting last w ... 
671817165532561408	President	obama repeats call for stricter gun laws after colorado shooting . 
671943133077225472	6other	rs : mental illness ; ds : guns ; pres : deranged/guns : 
671932342949163008	HannahAThomas	paul ryan : mental issues common denominator in shootings . how about guns ? you gonna fix that too ? 
671911825383038976	WattsMR	i bet if you think really hard you can come up with an even more common denominator . 

http://www.nytimes.com/2015/12/02/world/europe/obama-paris-climate-conference.html
672009222192803840	CompastKCompany	russians unlikely to attack isis in syria , obama says 
671797189606178817	insideclimate	pres . obama on climate change : “ ... i actually think we’re going to solve this problem " 
672010618774413312	DurrutiLive	americans are sick liars| russians unlikely to attack isis in syria , obama says 
671991868754890752	hlk01	russians unlikely to attack isis in obama says 
671835420825661440	AthenaisRK	obama defends presence at climate change talks while syria war rages 
671912802131513345	JABSND	defends presence at talks while war rages 
671894957435838465	KeepTXTX	when has been truthful or right for that matter ... | russians unlikely to attack in obama says 
671876514363916288	646Lor	rt takes climate change seriously , while obstinately builds a massive dump in flood zone a . … 
671870207984599041	AllanMargolin	obama defends presence at talks while syria war rages via 

http://www.nytimes.com/interactive/projects/cp/climate/2015-paris-climate-talks/what-climate-change-looks-like-beetles
671999566015688704	TheBestUsaNews	what climate change looks like : dying forests 
672006447987691522	ChorariaSaurabh	what climate change looks like : dying pine forests 

http://www.nytimes.com/politics/first-draft/2015/11/30/trump-tells-georgia-crowd-his-critics-cant-take-a-joke/
671728191208218624	rontalley2	trump tells georgia crowd his critics can't take a joke 
671886668534796290	NewsInMacon	donald trump tells georgia crowd his critics can't take a joke - new york times 
671650440438763520	MukherjiATOI	donald trump tells a campaign rally in georgia that his critics can't take a joke 
671659451594776576	WesleyPerich	trump tells georgia crowd his critics can’t take a joke 
671843213171232768	pragpro	donald trump “ was in full insult mode at a campaign rally here on monday night as he egged on a man who called ... 
671752379176517632	FedUpGOPer	" i'm just joking " seems to be a common deflection . even trump is using it : 
671742689717555200	Barbie892	do republicans really want a president who's in " full insult mode ? " trump tells ga crowd via 
671735264788791296	Lovecraft2016	" the teeth of that skull gleam and grin horribly . " 
671691731025313792	theAlexHanson	trump has jokes . the sanders one should make political junkies laugh , at least . via 
671691526062415873	Muckety	trump shows no respect for the office he supposedly seeks . 
671674568185094145	darreldrowland	donald trump calls john kasich a " total stiff " in georgia after ohio gov runs ads critical of him via 
671648332268335104	rosierifka	man in crowd shouted president was a “ dumbass , ” trump egging the man on : “ go ahead , say it again — louder . ” 
671634643909779456	rosierifka	man in the crowd shouted president was a “ dumbass , ” trump egging the man on : “ go ahead , say it again — louder . ” 
671634078052020224	rosierifka	trump egged on a man who called obama a “ dumbass ” and lit into senator bernie sanders — “ may he rest in peace ” 
671632174723047425	amour_de_porc	would that for every mention of t , you give 5 mentions to bernie . rt donald trump ... 
671630076690198529	steven_metz	most adults can distinguish an adult joke from an adolescent one . but not all can . 
671630091227668480	markl280	trump tells rally that his critics can't take a joke fascist bullying is not funny 

http://www.nytimes.com/interactive/2015/11/30/world/europe/paris-attacks-organizer-evaded-authorities.html
671513071261716480	EduardOeisis	how the organizer of the paris attacks slipped through authorities ’ hands 
671820406676987905	GavinLeeBBC	" from late summer we knew something big was being planned , ” tracing the ringleader of the attacks , via nyt 
671792759766847488	nobleskine	scary 
671742129723478016	75thCXO	nytimes : how the organizer of the attacks slipped through the authorities ’ hands . 
671715566802116609	juliamacfarlane	tracing abdelhamid abaaoud's key movements in the months leading up to 
671709451129397248	manuco22	loading … 
671693683998269441	aj_beloff	brussels -> aleppo , cologne -> istanbul , athens -> syria , syria -> france : path leading up to 
671692319691776000	aj_beloff	how the organizer of the slipped thru authorities ’ hands , linked to 4 foiled plots earlier this year 
671690858027200512	hfairfield	the organizer of the paris attacks crisscrossed europe and the middle east for years 
671672573822935040	StratPolConsult	organizer was on a belgian watchlist and had been linked to at four terrorist plots foiled this year 
671655958540632064	jacobstapp	who's to blame ? germany let mastermind slip through to turkey . france/belgium didn't know he returned 
671515653233340416	cbelive_com	click here " how the organizer of the paris attacks slipped through authoriti … 
671513805919244289	gabrieldsmqs	nulinhos " by josh keller , haeyoun park and jeremy white via nyt november 30 , 2015 at 03:00 am 

http://www.nytimes.com/2015/12/02/business/dealbook/puerto-rico-government-debt-bond-payment.html
672011537859637248	PINOROMBI	which debt payments to make ? 
672018756831285249	TrammellLt	rt “ a distress call from a ship of 3.5 million people adrift at sea " puerto rico choosing which debt payments to make … 
671902752600010752	SimplyNewsApp	begins choosing which to make 
671882906453741569	DCNiche	puerto rico meets debt deadline but warns of tight finances 

http://www.nytimes.com/2015/12/02/us/politics/56-arrests-in-us-this-year-related-to-isis-study-says.html
672030810711683072	nilicule	isis followers in the us are diverse and young 
671867417040146432	RDannely	isis followers in u.s. are diverse and young 
672020387845316609	mkolken	71 individuals arrested in us on charges related to isis march 2014 , including 56 this year 
672016555383889920	virginiafan0101	rt 56 arrests in the u.s. this year related to isis , study says . reports … 
671970954843701248	SimNasr	followers in are diverse and young 
672015470145343488	daveschroeder	56 arrests in u.s. this year related to isis , study says 
672007265801641984	Co_SwEuphoria	" hardened militants , teen girls , petty criminals and college students " isis followers in u.s. ( nyt ) ( v . 
672005991890817024	kniggem	rt 56 arrests in us this year for isis plots or support . many are converts , many young . via 
672004214047031296	NYTBen	interesting study of isis followers in the us : young , mostly citizens , many coverts and women . 
672004084480778240	federicasasso	followers in the us are diverse and usually under 30 , a new research says 
671983846838013954	LastWave2014	can tell isis in the news he is sending troops to ' kill them ' .. but fails to tell america that is ... 
671981569695997952	petit_bolide	in are and 
671964142081810432	GshmFTW	i blame climate change . 
671946565108412417	luvronandez	nytimes : isis followers in the u.s. are diverse and young , researchers have found . 
671911960233902080	luke_holman57	followers in u.s. are diverse and young - the new york times 
671911882995855360	JohnBlaxland1	isis/daesh followers in u.s. are diverse and young - much as is the case in other western countries 
671910790203580416	SeanGonComm	study : followers in u.s. are diverse & young - vast majority not 
671892080805830656	riwired	" islamic state " followers in u.s. are diverse , young and drawn heavily from 
671845229314613248	RebekahLSanders	56 arrests in u.s. this year related to isis , but no typical profile , study says 

http://www.nytimes.com/2015/12/02/nytnow/latest-news-mark-zuckerberg-uk-parliament-yahoo.html
672019032900431872	luisito2402	[ your wednesday briefing [ 
